source,source_code,concept_id,seed_sha256
ciqual,10037,nfx_13HVSA1D3JMNFGZPF4VXRTF8ZF,3c332476c80ca6cdf854d0890ad8a2f689645179ab0b34ed2745da458493e92f
ciqual,10038,nfx_72Q17SRS29EWKP5KJ33QENX4FZ,67f91c81946e4a20aa702b2c037319a4dddebcaa9b80941c4972841e6762a954
ciqual,10039,nfx_0END27VFEVA8MF41F06DQKXNPC,70eae4138002dd96347801eee9528a59243614efbcf368e45309f89cbc42f540
ciqual,1004,nfx_0NSED5PEH0KWBY17SR9GBM3P9M,9fb6badf813a9b1d59b33e6d2215729bdbc959909eefee6f2c839f445841ec56
ciqual,10041,nfx_52RF4YVZBWYK4YCDJ7KPFNWKXW,5878607b12e8dbf9d5adafcc196ee4965791245b4b8ad980eb60cdc4630e14ae
ciqual,10042,nfx_5Q98N7B892MFE2EWN3PTBVPNF5,1972e310322474de4b0d7e418f8a83f1202b782e0e8ba441c1b312c22d3f5e0d
ciqual,10043,nfx_7TBKBBP1XBS70R9XDQV6VSCY7N,c6c58107b60010ed6b37e4dd3b8555da18ce2a55162e5195e791b128919958a6
ciqual,10044,nfx_1ARFSJRZMF7M5XM8JVVE375QBP,f2b4bc22d4a6ff7ed37f26d341936acea756e03c9345397804651d836233b504
ciqual,10045,nfx_12DP7BQC804WBPRH9978J5PR8B,57ee10f15175831e2fd2d740e87b257ae4476adf541ef0a431301238e44c4e5b
ciqual,10048,nfx_7SQW40BP8J6B1EFGKMZJFRVAN1,642ec46c0611b63b6691f2499f3c1abc882372deb306dc007f0536c6d8188f6b
ciqual,10049,nfx_40YW04GDNA3SS1NA66CV1TR5SN,540ae9ff4e7bfec8beb2d6d7032a24a072e8add5ade9629ffcb3e68da215dd64
ciqual,1005,nfx_7E1Y3YVQH4HT0QMZ4JERJRQJ4V,2f5cecbc8392d2bc198d840e687f22f3366cda760c0e626eb435da995fcafedb
ciqual,10057,nfx_5605745JEQP50HJSB62ZBBC8JS,4c793b2437b2552f29607e62bc7eebacd19983c422ea977e4a90f35aec2f8ebb
ciqual,1006,nfx_6NK6HFBR8Q2C3BEWB45S44ZNDB,8e359de105d82d93849c93560c1899f547ada261664dad8e90e333dac6a58675
ciqual,10061,nfx_73J3BHE35JD5RMMADDFJ0SSTVM,16e86851c63d83af545d358a2ef6dbe3560eef5b72077a50da1296adc4dae7e0
ciqual,10062,nfx_03W323EDMKD5T0AYX6KVEARG91,962d5e8ea057270e12c0ab3ba69b0ce55da40548aa54b00eb1b2c0b784851ad2
