# Fatores de retencao (SPEC §10, ADR-0007/0018). Fonte: USDA Table of
# Nutrient Retention Factors Release 6 (2007), CC0 1.0,
# DOI 10.15482/USDA.ADC/1409034. Fonte primaria: retn06.txt (ASCII caret-delimited),
# SHA-256 5B71867F6649E801DB3BF88C6CD1887B0673E853D4BA94AA0AF2B3C091E983F9.
# Gerado por scripts/build_retention_factors.py — nao editar a mao.
# Politica: mediana por (nutriente, metodo); espaco min-max na evidencia;
# referencia integral em usda_r6_reference.csv.
nutrient,cooking_method,retention_factor,evidence
CHOLN,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 75% max 100%
CHOLN,boiled,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 90% max 100%
CHOLN,braised,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 90% max 100%
CHOLN,broiled,0.975,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 70% max 100%
CHOLN,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 95% max 100%
CHOLN,cooked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 60% max 100%
CHOLN,fried,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 70% max 100%
CHOLN,poached,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 80% max 80%
CHOLN,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 27 rows; min 70% max 100%
CHOLN,roasted,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 70% max 100%
CHOLN,simmered,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 61 rows; min 70% max 100%
CHOLN,steamed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
CHOLN,stewed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 100% max 100%
CRYPXB,baked,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 75% max 100%
CRYPXB,boiled,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 85% max 100%
CRYPXB,braised,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 75% max 90%
CRYPXB,broiled,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 65% max 100%
CRYPXB,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 75% max 100%
CRYPXB,cooked,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 75% max 100%
CRYPXB,fried,0.85,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 75% max 100%
CRYPXB,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
CRYPXB,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 95% max 100%
CRYPXB,roasted,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 75% max 80%
CRYPXB,simmered,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 75% max 100%
CRYPXB,steamed,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 95%
CRYPXB,stewed,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 75% max 75%
CU,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 90% max 100%
CU,boiled,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 55% max 100%
CU,braised,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 75% max 100%
CU,broiled,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 75% max 100%
CU,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 100%
CU,cooked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 55% max 100%
CU,fried,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 55% max 100%
CU,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
CU,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
CU,roasted,0.975,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 70% max 100%
CU,simmered,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 70% max 100%
CU,steamed,0.925,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 85% max 100%
CU,stewed,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 90% max 90%
FE,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 100% max 100%
FE,boiled,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 75% max 100%
FE,braised,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 95% max 100%
FE,broiled,0.975,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 65% max 100%
FE,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
FE,cooked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 65% max 100%
FE,fried,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 65% max 100%
FE,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
FE,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
FE,roasted,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 85% max 100%
FE,simmered,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 60% max 100%
FE,steamed,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 100%
FE,stewed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 100% max 100%
FOL,baked,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 60% max 95%
FOL,boiled,0.675,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 30% max 90%
FOL,braised,0.7,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 65% max 80%
FOL,broiled,0.825,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 30% max 95%
FOL,canned,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 50% max 95%
FOL,cooked,0.7,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 25% max 100%
FOL,fried,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 25% max 95%
FOL,poached,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 75% max 75%
