retn_code,usda_fdgrp,retn_desc,nutr_no,tagname,cooking_method,retention_factor_pct,source_date
0005,01,"CHEESE,COOKED W/LIQUID",337,LYCPN,cooked,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",338,,cooked,100,09/1975
0007,01,"CHEESE,REHEATED",301,CA,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",303,FE,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",304,MG,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",305,P,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",306,K,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",307,NA,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",309,ZN,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",312,CU,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",401,VITC,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",404,THIA,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",405,RIBF,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",406,NIA,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",415,VITB6A,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",417,FOL,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",431,FOLAC,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",432,FOLFD,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",421,CHOLN,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",418,VITB12,reheated,95,09/1975
0007,01,"CHEESE,REHEATED",318,,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",392,VITA_RAE,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",221,ALC,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",321,CARTB,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",322,CARTA,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",334,CRYPXB,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",337,LYCPN,reheated,100,09/1975
0007,01,"CHEESE,REHEATED",338,,reheated,100,09/1975
0101,01,"EGGS,BAKED",301,CA,baked,100,09/1975
0101,01,"EGGS,BAKED",303,FE,baked,100,09/1975
0101,01,"EGGS,BAKED",304,MG,baked,100,09/1975
0101,01,"EGGS,BAKED",305,P,baked,100,09/1975
0101,01,"EGGS,BAKED",306,K,baked,100,09/1975
0101,01,"EGGS,BAKED",307,NA,baked,100,09/1975
0101,01,"EGGS,BAKED",309,ZN,baked,100,09/1975
0101,01,"EGGS,BAKED",312,CU,baked,100,09/1975
0101,01,"EGGS,BAKED",401,VITC,baked,80,09/1975
0101,01,"EGGS,BAKED",404,THIA,baked,80,09/1975
0101,01,"EGGS,BAKED",405,RIBF,baked,95,09/1975
0101,01,"EGGS,BAKED",406,NIA,baked,90,09/1975
0101,01,"EGGS,BAKED",415,VITB6A,baked,95,09/1975
0101,01,"EGGS,BAKED",417,FOL,baked,75,09/1975
0101,01,"EGGS,BAKED",431,FOLAC,baked,75,09/1975
0101,01,"EGGS,BAKED",432,FOLFD,baked,75,09/1975
0101,01,"EGGS,BAKED",421,CHOLN,baked,80,09/1975
0101,01,"EGGS,BAKED",418,VITB12,baked,80,09/1975
0101,01,"EGGS,BAKED",318,,baked,100,09/1975
0101,01,"EGGS,BAKED",392,VITA_RAE,baked,100,09/1975
0101,01,"EGGS,BAKED",221,ALC,baked,100,09/1975
0101,01,"EGGS,BAKED",321,CARTB,baked,100,09/1975
0101,01,"EGGS,BAKED",322,CARTA,baked,100,09/1975
0101,01,"EGGS,BAKED",334,CRYPXB,baked,100,09/1975
0101,01,"EGGS,BAKED",337,LYCPN,baked,100,09/1975
0101,01,"EGGS,BAKED",338,,baked,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",301,CA,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",303,FE,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",304,MG,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",305,P,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",306,K,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",307,NA,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",309,ZN,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",312,CU,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",401,VITC,fried,80,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",404,THIA,fried,85,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",405,RIBF,fried,95,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",406,NIA,fried,95,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",415,VITB6A,fried,95,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",417,FOL,fried,75,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",431,FOLAC,fried,75,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",432,FOLFD,fried,75,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",421,CHOLN,fried,85,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",418,VITB12,fried,85,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",318,,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",392,VITA_RAE,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",221,ALC,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",321,CARTB,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",322,CARTA,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",334,CRYPXB,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",337,LYCPN,fried,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",338,,fried,100,09/1975
0105,01,"EGGS,HARD COOKED",301,CA,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",303,FE,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",304,MG,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",305,P,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",306,K,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",307,NA,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",309,ZN,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",312,CU,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",401,VITC,cooked,80,09/1975
0105,01,"EGGS,HARD COOKED",404,THIA,cooked,85,09/1975
0105,01,"EGGS,HARD COOKED",405,RIBF,cooked,95,09/1975
0105,01,"EGGS,HARD COOKED",406,NIA,cooked,95,09/1975
0105,01,"EGGS,HARD COOKED",415,VITB6A,cooked,95,09/1975
0105,01,"EGGS,HARD COOKED",417,FOL,cooked,75,09/1975
0105,01,"EGGS,HARD COOKED",431,FOLAC,cooked,75,09/1975
0105,01,"EGGS,HARD COOKED",432,FOLFD,cooked,75,09/1975
0105,01,"EGGS,HARD COOKED",421,CHOLN,cooked,80,09/1975
0105,01,"EGGS,HARD COOKED",418,VITB12,cooked,85,09/1975
0105,01,"EGGS,HARD COOKED",318,,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",392,VITA_RAE,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",221,ALC,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",321,CARTB,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",322,CARTA,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",334,CRYPXB,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",337,LYCPN,cooked,100,09/1975
0105,01,"EGGS,HARD COOKED",338,,cooked,100,09/1975
0107,01,"EGGS,POACHED",301,CA,poached,100,09/1975
0107,01,"EGGS,POACHED",303,FE,poached,100,09/1975
0107,01,"EGGS,POACHED",304,MG,poached,100,09/1975
0107,01,"EGGS,POACHED",305,P,poached,100,09/1975
0107,01,"EGGS,POACHED",306,K,poached,100,09/1975
0107,01,"EGGS,POACHED",307,NA,poached,100,09/1975
0107,01,"EGGS,POACHED",309,ZN,poached,100,09/1975
0107,01,"EGGS,POACHED",312,CU,poached,100,09/1975
0107,01,"EGGS,POACHED",401,VITC,poached,80,09/1975
0107,01,"EGGS,POACHED",404,THIA,poached,80,09/1975
0107,01,"EGGS,POACHED",405,RIBF,poached,85,09/1975
0107,01,"EGGS,POACHED",406,NIA,poached,85,09/1975
0107,01,"EGGS,POACHED",415,VITB6A,poached,85,09/1975
0107,01,"EGGS,POACHED",417,FOL,poached,75,09/1975
0107,01,"EGGS,POACHED",431,FOLAC,poached,75,09/1975
0107,01,"EGGS,POACHED",432,FOLFD,poached,75,09/1975
0107,01,"EGGS,POACHED",421,CHOLN,poached,80,09/1975
0107,01,"EGGS,POACHED",418,VITB12,poached,80,09/1975
0107,01,"EGGS,POACHED",318,,poached,100,09/1975
0107,01,"EGGS,POACHED",392,VITA_RAE,poached,100,09/1975
0107,01,"EGGS,POACHED",221,ALC,poached,100,09/1975
0107,01,"EGGS,POACHED",321,CARTB,poached,100,09/1975
0107,01,"EGGS,POACHED",322,CARTA,poached,100,09/1975
0107,01,"EGGS,POACHED",334,CRYPXB,poached,100,09/1975
0107,01,"EGGS,POACHED",337,LYCPN,poached,100,09/1975
0107,01,"EGGS,POACHED",338,,poached,100,09/1975
0109,01,"EGGS,REHEATED",301,CA,reheated,100,09/1975
0109,01,"EGGS,REHEATED",303,FE,reheated,100,09/1975
0109,01,"EGGS,REHEATED",304,MG,reheated,100,09/1975
0109,01,"EGGS,REHEATED",305,P,reheated,100,09/1975
0109,01,"EGGS,REHEATED",306,K,reheated,100,09/1975
0109,01,"EGGS,REHEATED",307,NA,reheated,100,09/1975
0109,01,"EGGS,REHEATED",309,ZN,reheated,100,09/1975
0109,01,"EGGS,REHEATED",312,CU,reheated,100,09/1975
0109,01,"EGGS,REHEATED",401,VITC,reheated,95,09/1975
0109,01,"EGGS,REHEATED",404,THIA,reheated,95,09/1975
0109,01,"EGGS,REHEATED",405,RIBF,reheated,100,09/1975
0109,01,"EGGS,REHEATED",406,NIA,reheated,100,09/1975
0109,01,"EGGS,REHEATED",415,VITB6A,reheated,95,09/1975
0109,01,"EGGS,REHEATED",417,FOL,reheated,95,09/1975
0109,01,"EGGS,REHEATED",431,FOLAC,reheated,95,09/1975
0109,01,"EGGS,REHEATED",432,FOLFD,reheated,95,09/1975
0109,01,"EGGS,REHEATED",421,CHOLN,reheated,85,09/1975
0109,01,"EGGS,REHEATED",418,VITB12,reheated,95,09/1975
0109,01,"EGGS,REHEATED",318,,reheated,100,09/1975
0109,01,"EGGS,REHEATED",392,VITA_RAE,reheated,100,09/1975
0109,01,"EGGS,REHEATED",221,ALC,reheated,100,09/1975
0109,01,"EGGS,REHEATED",321,CARTB,reheated,100,09/1975
0109,01,"EGGS,REHEATED",322,CARTA,reheated,100,09/1975
0109,01,"EGGS,REHEATED",334,CRYPXB,reheated,100,09/1975
0109,01,"EGGS,REHEATED",337,LYCPN,reheated,100,09/1975
0109,01,"EGGS,REHEATED",338,,reheated,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",301,CA,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",303,FE,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",304,MG,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",305,P,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",306,K,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",307,NA,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",309,ZN,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",312,CU,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",401,VITC,cooked,45,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",404,THIA,cooked,60,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",405,RIBF,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",406,NIA,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",415,VITB6A,cooked,55,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",417,FOL,cooked,70,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",431,FOLAC,cooked,70,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",432,FOLFD,cooked,70,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",421,CHOLN,cooked,60,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",418,VITB12,cooked,30,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",318,,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",392,VITA_RAE,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",221,ALC,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",321,CARTB,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",322,CARTA,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",334,CRYPXB,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",337,LYCPN,cooked,100,09/1975
2153,01,"MILK,HEATED APPROX 1 HOUR",338,,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",301,CA,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",303,FE,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",304,MG,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",305,P,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",306,K,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",307,NA,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",309,ZN,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",312,CU,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",401,VITC,cooked,85,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",404,THIA,cooked,90,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",405,RIBF,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",406,NIA,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",415,VITB6A,cooked,90,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",417,FOL,cooked,85,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",431,FOLAC,cooked,85,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",432,FOLFD,cooked,85,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",421,CHOLN,cooked,90,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",418,VITB12,cooked,80,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",318,,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",392,VITA_RAE,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",221,ALC,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",321,CARTB,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",322,CARTA,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",334,CRYPXB,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",337,LYCPN,cooked,100,09/1975
2151,01,"MILK,HEATED APPROX 10MIN",338,,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",301,CA,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",303,FE,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",304,MG,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",305,P,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",306,K,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",307,NA,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",309,ZN,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",312,CU,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",401,VITC,cooked,65,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",404,THIA,cooked,75,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",405,RIBF,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",406,NIA,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",415,VITB6A,cooked,75,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",417,FOL,cooked,80,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",431,FOLAC,cooked,80,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",432,FOLFD,cooked,80,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",421,CHOLN,cooked,75,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",418,VITB12,cooked,55,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",318,,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",392,VITA_RAE,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",221,ALC,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",321,CARTB,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",322,CARTA,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",334,CRYPXB,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",337,LYCPN,cooked,100,09/1975
2152,01,"MILK,HEATED APPROX 30MIN",338,,cooked,100,09/1975
2154,01,"MILK,REHEATED",301,CA,reheated,100,09/1975
2154,01,"MILK,REHEATED",303,FE,reheated,100,09/1975
2154,01,"MILK,REHEATED",304,MG,reheated,100,09/1975
2154,01,"MILK,REHEATED",305,P,reheated,100,09/1975
2154,01,"MILK,REHEATED",306,K,reheated,100,09/1975
2154,01,"MILK,REHEATED",307,NA,reheated,100,09/1975
2154,01,"MILK,REHEATED",309,ZN,reheated,100,09/1975
2154,01,"MILK,REHEATED",312,CU,reheated,100,09/1975
2154,01,"MILK,REHEATED",401,VITC,reheated,95,09/1975
2154,01,"MILK,REHEATED",404,THIA,reheated,95,09/1975
2154,01,"MILK,REHEATED",405,RIBF,reheated,100,09/1975
2154,01,"MILK,REHEATED",406,NIA,reheated,100,09/1975
2154,01,"MILK,REHEATED",415,VITB6A,reheated,95,09/1975
2154,01,"MILK,REHEATED",417,FOL,reheated,95,09/1975
2154,01,"MILK,REHEATED",431,FOLAC,reheated,95,09/1975
2154,01,"MILK,REHEATED",432,FOLFD,reheated,95,09/1975
2154,01,"MILK,REHEATED",421,CHOLN,reheated,95,09/1975
2154,01,"MILK,REHEATED",418,VITB12,reheated,95,09/1975
2154,01,"MILK,REHEATED",318,,reheated,100,09/1975
2154,01,"MILK,REHEATED",392,VITA_RAE,reheated,100,09/1975
2154,01,"MILK,REHEATED",221,ALC,reheated,100,09/1975
2154,01,"MILK,REHEATED",321,CARTB,reheated,100,09/1975
2154,01,"MILK,REHEATED",322,CARTA,reheated,100,09/1975
2154,01,"MILK,REHEATED",334,CRYPXB,reheated,100,09/1975
2154,01,"MILK,REHEATED",337,LYCPN,reheated,100,09/1975
2154,01,"MILK,REHEATED",338,,reheated,100,09/1975
0801,05,"CHICKEN,BROILED",301,CA,broiled,95,09/1975
0801,05,"CHICKEN,BROILED",303,FE,broiled,90,09/1975
0801,05,"CHICKEN,BROILED",304,MG,broiled,75,09/1975
0801,05,"CHICKEN,BROILED",305,P,broiled,80,09/1975
0801,05,"CHICKEN,BROILED",306,K,broiled,80,09/1975
0801,05,"CHICKEN,BROILED",307,NA,broiled,80,09/1975
0801,05,"CHICKEN,BROILED",309,ZN,broiled,100,09/1975
0801,05,"CHICKEN,BROILED",312,CU,broiled,95,09/1975
0801,05,"CHICKEN,BROILED",401,VITC,broiled,80,09/1975
0801,05,"CHICKEN,BROILED",404,THIA,broiled,70,09/1975
0801,05,"CHICKEN,BROILED",405,RIBF,broiled,90,09/1975
0801,05,"CHICKEN,BROILED",406,NIA,broiled,80,09/1975
0801,05,"CHICKEN,BROILED",415,VITB6A,broiled,80,09/1975
0801,05,"CHICKEN,BROILED",417,FOL,broiled,60,09/1975
0801,05,"CHICKEN,BROILED",431,FOLAC,broiled,60,09/1975
0801,05,"CHICKEN,BROILED",432,FOLFD,broiled,60,09/1975
0801,05,"CHICKEN,BROILED",421,CHOLN,broiled,70,09/1975
0801,05,"CHICKEN,BROILED",418,VITB12,broiled,65,09/1975
0801,05,"CHICKEN,BROILED",318,,broiled,75,09/1975
0801,05,"CHICKEN,BROILED",392,VITA_RAE,broiled,75,09/1975
0801,05,"CHICKEN,BROILED",221,ALC,broiled,100,09/1975
0801,05,"CHICKEN,BROILED",321,CARTB,broiled,75,09/1975
0801,05,"CHICKEN,BROILED",322,CARTA,broiled,75,09/1975
0801,05,"CHICKEN,BROILED",334,CRYPXB,broiled,75,09/1975
0801,05,"CHICKEN,BROILED",337,LYCPN,broiled,75,09/1975
0801,05,"CHICKEN,BROILED",338,,broiled,75,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",301,CA,simmered,100,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",303,FE,simmered,100,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",304,MG,simmered,100,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",305,P,simmered,100,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",306,K,simmered,100,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",307,NA,simmered,100,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",309,ZN,simmered,100,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",312,CU,simmered,100,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",401,VITC,simmered,85,09/1975
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",404,THIA,simmered,75,09/1975
